Date,Input_01,Input_02,Input_03,Input_04,Output
19/02/2001,18.3829,1.9066,1.7962,10.6972,76.9825
20/02/2001,18.5569,2.0121,1.7979,10.5986,72.9525
21/02/2001,17.3985,1.8663,1.7977,10.6308,66.35
22/02/2001,18.1417,2.2153,1.8302,10.8067,64.4972
23/02/2001,18.5952,1.806,1.8267,10.5907,82.2792
24/02/2001,18.9364,1.9484,1.803,10.8815,81.1249
25/02/2001,18.4819,1.571,1.7985,10.9806,80.9555
26/02/2001,17.1615,1.5702,1.7983,10.159,69.8268
27/02/2001,17.1003,1.5681,1.7957,10.3767,62.8039
28/02/2001,16.9253,1.5676,1.7968,10.7672,61.735
1/03/2001,17.3799,1.8443,1.8054,10.9512,61.4092
2/03/2001,17.8818,1.6478,1.8018,11.5112,73.008
3/03/2001,18.1024,1.5707,1.7979,10.6795,77.1981
4/03/2001,17.8798,1.6004,1.7957,10.9066,77.9654
5/03/2001,17.3089,1.8276,1.7977,10.8612,80.1219
6/03/2001,17.9938,1.6465,1.7978,11.0735,74.3972
7/03/2001,17.4293,1.5693,1.7968,11.2398,67.906
8/03/2001,17.9946,1.5689,1.8029,11.3887,78.8079
9/03/2001,18.374,2.2794,1.8244,10.4971,76.0987
10/03/2001,18.8763,1.8169,1.8307,10.8395,75.594
11/03/2001,17.8176,1.7142,1.7974,11.0018,78.5126
12/03/2001,17.8326,1.7383,1.7965,11.2751,80.9664
13/03/2001,18.1599,1.5927,1.7984,11.4598,76.9028
14/03/2001,16.3532,1.9553,1.7959,11.8501,70.7829
15/03/2001,18.6235,1.577,1.8112,11.6253,76.4555
16/03/2001,18.1581,2.5234,1.7989,11.1218,82.4218
17/03/2001,17.7208,1.5685,1.7968,11.2589,82.3267
18/03/2001,17.877,1.6725,1.801,11.1622,78.1291
19/03/2001,16.7247,1.6214,1.807,11.4567,83.946
20/03/2001,18.5697,3.8207,1.8159,10.5588,67.8895
21/03/2001,17.0229,1.8101,1.8018,11.1174,65.4122
22/03/2001,18.0652,1.6076,1.7953,11.4248,75.4053
23/03/2001,17.3217,1.5696,1.7981,10.6206,77.4313
24/03/2001,17.6849,1.5682,1.7985,10.8903,80.5509
25/03/2001,18.3664,1.6693,1.7967,10.9452,78.9182
26/03/2001,17.345,1.9864,1.8328,10.8811,82.0888
27/03/2001,17.5915,1.984,1.7981,10.7483,75.2011
28/03/2001,17.21,1.9518,1.7967,10.856,68.851
29/03/2001,18.0251,1.613,2.1737,11.1278,76.144
30/03/2001,18.7377,1.7549,1.8433,11.42,82.8285
31/03/2001,17.9214,1.5706,1.8595,11.2265,85.7267
1/04/2001,18.3647,1.7013,1.8519,12.1742,91.5397
2/04/2001,18.2612,1.5772,1.8664,11.3997,90.9681
3/04/2001,17.7662,1.6332,1.8702,11.002,80.0347
4/04/2001,16.675,1.5693,1.8318,11.3786,72.1354
5/04/2001,18.1074,1.5716,1.8474,11.3388,75.7656
6/04/2001,20.7569,4.3356,10.7403,10.8451,60.1415
7/04/2001,19.2586,1.568,3.4981,10.5889,64.2305
8/04/2001,19.6098,1.5687,2.3756,10.6849,70.8828
9/04/2001,18.1592,1.5701,2.1271,10.8472,77.3557
10/04/2001,18.1364,1.5689,2.4176,11.0987,74.1159
11/04/2001,17.331,1.5678,2.2383,11.2059,70.3649
12/04/2001,18.3618,1.5706,2.0455,11.9469,65.9817
13/04/2001,18.273,1.576,1.8235,11.5773,83.0191
14/04/2001,18.5022,2.1734,1.845,11.1431,84.4149
15/04/2001,17.955,1.7822,1.8334,11.2363,83.1065
16/04/2001,17.9488,1.7955,1.7977,11.3661,85.3006
17/04/2001,18.2509,2.1122,1.7976,11.3032,78.1385
18/04/2001,17.3225,1.9275,1.7955,11.68,76.0853
19/04/2001,17.7912,2.1283,1.7967,12.3824,85.777
20/04/2001,20.652,4.9319,1.8175,11.2073,83.7711
21/04/2001,21.0054,3.6358,1.823,11.1655,80.8795
22/04/2001,20.7341,3.4615,1.818,10.8934,80.047
23/04/2001,21.0034,4.3498,1.8232,10.4501,72.4862
24/04/2001,18.8,2.9711,1.8107,10.928,73.6142
25/04/2001,18.7995,2.4773,1.7958,11.3157,70.6178
26/04/2001,18.7659,2.4334,1.8076,11.3866,74.2334
27/04/2001,17.6365,2.0159,1.7983,11.4521,76.1315
28/04/2001,19.3228,1.9428,1.7961,11.4184,84.4541
29/04/2001,19.3223,1.7945,1.7977,11.587,84.7101
30/04/2001,18.8574,1.8149,1.7984,11.4989,88.7345
1/05/2001,18.7025,2.2565,1.796,11.9864,86.51
2/05/2001,20.0393,2.8174,1.7955,10.9579,68.0913
3/05/2001,18.779,1.9074,1.799,11.0487,76.9848
4/05/2001,18.3359,1.8366,1.8166,11.3992,83.892
5/05/2001,18.9896,1.8346,1.7963,11.6796,89.4523
6/05/2001,18.9884,1.8013,2.0474,13.0033,91.3611
7/05/2001,18.4843,1.7202,1.8083,12.5752,94.1044
8/05/2001,18.1318,1.8605,1.8282,11.5894,83.073
9/05/2001,17.4116,1.7127,1.8302,11.5425,76.7482
10/05/2001,19.0349,1.5714,1.8313,11.6183,83.297
11/05/2001,19.1144,1.7322,1.829,12.0766,94.0867
12/05/2001,18.7577,1.7444,1.8123,12.031,94.6858
13/05/2001,20.1251,3.7231,9.8199,11.2824,72.7212
14/05/2001,21.611,4.2908,8.8762,11.7529,80.2685
15/05/2001,21.4343,4.8991,1.8139,11.8941,60.9947
16/05/2001,19.6307,3.9386,1.801,11.5521,55.261
17/05/2001,20.2479,2.7469,1.7969,11.4505,77.0177
18/05/2001,18.7627,2.0928,1.7967,11.6911,86.3061
19/05/2001,19.1525,1.8679,1.8274,11.6705,89.0557
20/05/2001,18.8118,1.8253,1.7982,11.1774,90.5513
21/05/2001,20.7795,2.4106,3.9851,11.4191,85.6596
22/05/2001,19.8501,3.8416,1.8031,11.4042,74.2953
23/05/2001,18.1126,2.4474,1.7982,11.7484,75.0252
24/05/2001,18.5168,2.3567,1.7982,12.4189,81.4402
25/05/2001,16.0336,1.773,1.7979,11.8281,73.227
26/05/2001,15.8903,1.5683,1.7963,11.968,68.8341
27/05/2001,17.6459,1.6238,1.7977,12.6026,79.5024
28/05/2001,17.7348,1.6279,1.7965,12.0101,79.9665
29/05/2001,15.4049,1.6045,2.4189,11.4508,70.866
30/05/2001,14.984,1.6446,2.8362,11.6924,72.7636
31/05/2001,16.9889,1.7866,1.9209,11.8416,71.4336
1/06/2001,15.9323,1.5704,1.894,12.0189,68.5383
2/06/2001,15.4062,1.5711,1.905,11.6813,72.6119
3/06/2001,16.6937,1.5798,1.8945,12.3678,76.7369
4/06/2001,18.5117,1.9893,1.9008,11.9715,78.7875
5/06/2001,18.0373,1.8118,1.8977,11.5806,73.0418
6/06/2001,17.5637,1.8651,1.899,11.729,71.1071
7/06/2001,18.0511,1.8801,1.9098,11.9283,81.7975
8/06/2001,18.9498,1.8521,1.9063,11.7313,89.1449
9/06/2001,18.2742,1.7591,1.8933,11.5969,89.2694
10/06/2001,19.0024,1.8306,1.9024,11.7859,85.6047
11/06/2001,18.81,1.8925,1.8467,12.2808,95.7226
12/06/2001,17.9135,1.965,1.8555,11.8188,82.2158
13/06/2001,18.0467,1.8731,1.8302,12.1846,76.8186
14/06/2001,17.8023,1.6189,1.8312,12.4438,85.4996
15/06/2001,15.7724,1.6024,2.0622,12.3074,87.1778
16/06/2001,16.5455,1.5705,1.8303,11.8423,87.651
17/06/2001,17.2819,1.5823,1.8057,12.0491,84.9057
18/06/2001,17.8854,1.6114,1.7977,11.8041,92.278
19/06/2001,16.1256,1.6775,1.7956,11.8436,79.3724
20/06/2001,16.6852,1.5683,1.7971,11.8732,70.9736
21/06/2001,16.9039,1.5677,1.8046,12.1097,80.2004
22/06/2001,17.211,1.5708,1.8294,12.0983,88.3092
23/06/2001,17.4502,1.5791,1.836,11.9816,89.2253
24/06/2001,16.7656,1.6022,2.408,13.0155,88.4108
25/06/2001,17.0919,1.5833,1.8217,12.2436,94.7076
26/06/2001,15.4453,1.5709,1.7961,11.9867,79.795
27/06/2001,15.2678,1.5695,1.7971,12.0155,70.2619
28/06/2001,16.4047,1.6149,1.7976,12.0523,68.8901
29/06/2001,17.5571,1.6112,1.8584,12.2975,81.1543
30/06/2001,19.034,1.9966,1.9389,11.9415,84.6058
1/07/2001,17.2614,1.5921,1.8651,11.5619,84.7874
2/07/2001,16.4298,1.5714,1.7995,11.7022,84.6532
3/07/2001,16.5135,1.6615,1.8188,12.2307,81.3083
4/07/2001,15.8638,1.6159,2.1444,12.0478,72.1401
5/07/2001,15.7132,1.5704,1.7963,11.6516,76.8606
6/07/2001,15.822,1.5696,1.7972,11.9948,82.732
7/07/2001,18.6343,2.2899,1.8179,12.0826,83.1097
8/07/2001,16.9166,1.572,1.7974,12.1299,87.7592
9/07/2001,16.1017,1.5676,1.7972,11.4678,90.6311
10/07/2001,16.168,1.9313,1.7981,11.0422,77.8411
11/07/2001,15.3294,1.6164,1.7977,11.6105,70.1776
12/07/2001,15.8454,1.5807,1.7975,11.7269,78.2625
13/07/2001,16.714,1.5675,1.7963,11.0275,76.3152
14/07/2001,15.9858,1.5701,1.7983,11.0427,78.5368
15/07/2001,16.5272,1.5684,1.7966,11.4733,80.8196
16/07/2001,15.9557,1.5694,1.7967,11.6147,80.6122
17/07/2001,16.1941,1.7152,1.7969,11.8407,77.2349
18/07/2001,15.9732,1.6358,1.7976,11.8614,66.5979
19/07/2001,16.0727,1.5697,1.7956,11.5342,82.0977
20/07/2001,15.5029,1.5695,1.7963,11.1063,80.0826
21/07/2001,16.0785,1.5709,1.7966,11.3956,84.4341
22/07/2001,15.6536,1.5708,1.7964,11.4818,86.0239
23/07/2001,16.4849,1.5908,1.7984,11.585,84.389
24/07/2001,15.4927,1.8002,2.3606,11.7954,77.7362
25/07/2001,16.9232,1.903,1.8273,12.0612,69.4868
26/07/2001,17.3867,1.6593,1.7971,12.3269,80.3148
27/07/2001,16.8196,1.5681,1.796,11.6319,87.8968
28/07/2001,16.5656,1.6719,2.0476,12.1182,88.037
29/07/2001,15.6823,1.6475,2.4515,12.6935,83.1387
30/07/2001,16.6897,1.588,1.8244,12.8482,94.1201
31/07/2001,16.0052,1.6635,1.8572,12.9074,83.8357
1/08/2001,17.1578,1.6136,1.8397,12.1938,73.2877
2/08/2001,17.3886,1.5863,1.8178,11.8153,82.4869
3/08/2001,17.7521,1.5715,1.8569,11.4494,81.7258
4/08/2001,17.5916,1.5917,1.8314,10.924,87.2631
5/08/2001,17.3659,1.5713,2.1036,11.2462,82.982
6/08/2001,15.9004,1.5692,1.8493,11.6298,82.6511
7/08/2001,14.5731,1.5688,1.8168,11.5137,75.9048
8/08/2001,13.9004,1.5694,1.8373,11.3777,64.405
9/08/2001,15.182,1.5697,1.9013,11.1927,65.033
10/08/2001,16.02,1.5708,1.939,10.7041,69.9284
11/08/2001,16.4462,1.5694,1.9283,11.1442,74.257
12/08/2001,16.5703,1.5685,1.9013,11.3242,75.176
13/08/2001,13.8102,1.5678,1.8932,11.6404,75.7737
14/08/2001,9.6217,1.5709,1.854,11.7054,67.2
